Username,Currency,"First name","Last name",E-mail,Country,Advertiser,"VIP Level","Signed up","First deposit","Last deposit date","Wants mail",Deposits,"Deposit count","Average deposit","Approved Withdrawals","Approved Withdrawal count",Credits,"Credit count",Chargebacks,"Chargeback count",Returns,"Return count","Credit reverse","Credit reverse count","Chargeback reverses","Chargeback reverse count","Return reverses","Return reverse count","Casino bonuses","Casino bonus count","Redeemed bonus initial amounts","Redeemed bonus pending winnings","Poker Bonuses","Poker Bonus count","Poker bonus reverses","Casino comps converted","Casino Comps count","Casino progressive share","Casino progressive wins","Casino Bets","Casino Wins","Casino game count","Net Loss",Kiosk,"Kiosk admin","Player realbalance change","Bonus balance change","Declined withdraw requests","Withdraw requests","Transfer deposits","Transfer withdraws","Casino bonuses removed","Old Poker Rakes","Old Poker Tournament Fees","Poker game deposits","Poker game withdrawals","Poker rounding","Poker VIP level","Poker frozen",Frozen,"Poker nickname","Signup skin",Language,Casino,Sportsbook wins,"Sportsbook bets","Sportsbook bonus redemptions","Sportsbook gross income","Sportsbook cancelled bets","House correction revenue","House correction loss","Player correction revenue","Player correction loss","Bingo net gaming","Bingo network adjustments","Bingo redemption expenses","Bingo ingame bet","Bingo ingame win","Backbet wins","Backbet bets","Cancelled Backbet bets","House earnings","Bingo side games progressive bets","Bingo side games prog. contr.","Bingo side games prog. refund","Backbet bets revenue","Received bets from external wallet","Paid wins to external wallet","Poker tokens won","Player balance correction deposit","Player balance correction withdraw","Player and operator revenue correction deposit","Player and operator revenue correction withdraw","Player revenue correction deposit","Player revenue correction withdraw","Bonus parent corrections","Bonus tips","Total tips","Current credit limit","Pool bets","Pool wins","Fundtransfers in","Fundtransfers out","Widget bet","Widget win","Widget cancel bet","Widget fees","Transfers to FOBT","Transfers from FOBT","FOBT bets","FOBT wins","Dormant account fees","Bingo VIP level","Bingo Points","Redeemed cash award/AW award","Binary option bets placed","Binary option bets recognized","Binary option wins","Binary option insured returns","Deposit service fee","Deposit service fee bonus","Paid taxes","Poker SBR Rake","Poker SBR Tournament Fees","Poker RPV Rake","Poker RPV Fees","Redeemed Poker Prewager Bonus","Used poker prewager bonus","Redeemed Poker Cash Bonus","Sportsbook cash-outs","Sportsbook Token wins","SportsBook Opt-ins takings","Redeemed Bingo Pending Winnings","Sportsbook Cash Bet Adjustments","Sportsbook Cash Bets","Sportsbook Cash Payouts","Sportsbook Cancelled Cash Bets","Sportsbook Payouts to Account","Sportsbook Uncollected Payouts","Casino Converted Loyalty Points","Sportsbook Converted Loyalty Points","Poker Converted Loyalty Points","Bingo Converted Loyalty Points","Sportsbook Voucher Bets","Sportsbook Cancelled Voucher Bets","Sportsbook Loyalty Point Bets","Sportsbook Cancelled Loyalty Point Bets","Sportsbook Cash Token Wins","Sportsbook Voided Bets","Sportsbook Voided Cash Bets","Winnings from Cash Purchased Goods"
005PLUAT,CNY,Dafabet,Player,005pluat@dafamember.com,China,defaultmq,16,2017-03-23,"2017-03-23 18:38:15","2017-03-23 18:38:15",1,0.00,0,145.00,29.29,2,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,,,-29.29,0.00,0.00,29.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Not frozen","Not frozen",,mannycasino,EN,mannycasino,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ABBDUCTED,EUR,Dafabet,Player,abbducted@dafamember.com,Germany,defaultmq,16,2017-05-03,"2017-06-05 21:28:02","2017-06-05 21:28:02",1,2.26,1,2.26,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,,,2.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Not frozen","Not frozen",,mannycasino,EN,mannycasino,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CASHIERHRA,CNY,Dafabet,Player,cashierhra@dafamember.com,China,defaultmq,16,2017-05-29,"2017-06-06 13:01:09","2017-06-22 13:56:20",1,11.75,8,1.47,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,,,11.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Not frozen","Not frozen",,mannycasino,EN,mannycasino,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CASHIERTESTTHB,THB,Dafabet,Player,cashiertestthb@dafamember.com,China,defaultmq,16,2017-04-04,"2017-04-05 08:36:37","2017-06-14 11:09:51",1,14.70,1,21.93,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,,,14.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Not frozen","Not frozen",,mannycasino,EN,mannycasino,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DEVTESTRMB0005,CNY,Dafabet,Player,devtestrmb0005@dafamember.com,China,defaultmq,16,2017-04-20,"2017-04-21 15:32:36","2017-06-16 14:47:15",1,76.54,5,543.46,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,,,76.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Not frozen","Not frozen",,mannycasino,EN,mannycasino,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DEVUATRMB0002,CNY,Dafabet,Player,devuatrmb0002@dafamember.com,China,defaultmq,16,2017-02-17,"2017-02-17 14:16:26","2017-02-17 14:16:26",1,0.00,0,145.59,9.71,3,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,,,-9.71,0.00,0.00,9.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Not frozen","Not frozen",,mannycasino,EN,mannycasino,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DEVUSERUSD,EUR,Dafabet,Player,devuserusd@ts1dafamember.com,Poland,defaultmq,16,2016-10-21,,,1,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Not frozen","Not frozen",,mannycasino,EN,mannycasino,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FRCONFTEST001,CNY,Dafabet,Player,FRCONFTEST001@stg1dafabet.com,China,defaultmq,17,2016-07-06,"2016-07-06 11:07:03","2016-07-06 11:07:03",1,0.00,0,15.03,2.94,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,,,-2.94,0.00,0.00,2.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Not frozen","Not frozen",,mannycasino,EN,mannycasino,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FRQATESTMACE01,CNY,Dafabet,Player,frqatestmace01@dafamember.com,China,defaultmq,16,2017-06-05,,,1,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,146.80,1,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,4.40,5.06,2,-0.66,,,0.66,146.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Not frozen","Not frozen",,mannycasino,EN,mannycasino,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GTSSTG01,CNY,Dafabet,Player,gtsstg01@dafamember.com,China,defaultmq,16,2017-06-11,"2017-06-11 00:56:05","2017-06-11 00:56:05",1,147.10,1,147.10,17.65,2,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,,,129.45,0.00,0.00,17.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Not frozen","Not frozen",,mannycasino,EN,mannycasino,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
