Date,"Playtech transaction code",Username,"First name","Last name","Payment type","Payment method","Payment amount",Currency,"Payment amount in BC","Payment status","External transaction code",Casino,Country,Merchant,Comments,"First deposit","Money transferred to","Withdraw fees","Deposit by",Playercode,"External transaction ID"
"2017-06-21 01:19:18",32683024231,QAAUTTCTUSDSG01,Dafabet,Player,withdraw,FundTransfer,15,USD,15,approved,FT-b1f42196136a52d,mannycasino,China,,"dafa888 - Withdrawal through Neteller",-,,0,,19594656,b1f42196136a52d
"2017-06-21 01:21:03",32683085216,QAAUTTCTUSDSG01,Dafabet,Player,deposit,FundTransfer,15,USD,15,approved,FT-b1f4219666240cb,mannycasino,China,,"dafa888 - Neteller Fund Reversal due to Declined Withdrawal",No,,,,19594656,b1f4219666240cb
"2017-06-21 01:22:20",32683129399,QAAUTTCTRMBSG20,Dafabet,Player,deposit,FundTransfer,100,CNY,14.68,approved,FT-c1ded5dbd796731,mannycasino,China,,"dafa888 - Deposit using Yeepay",No,,,,19594789,c1ded5dbd796731
"2017-06-21 01:34:46",32683549751,QAAUTTCTUSDSG01,Dafabet,Player,withdraw,FundTransfer,15,USD,15,approved,FT-a90ac9bf1903e87,mannycasino,China,,"dafa888 - Withdrawal through Neteller",-,,0,,19594656,a90ac9bf1903e87
"2017-06-21 01:36:39",32683612862,QAAUTTCTUSDSG01,Dafabet,Player,deposit,FundTransfer,15,USD,15,approved,FT-a90ac9bf4b84793,mannycasino,China,,"dafa888 - Neteller Fund Reversal due to Declined Withdrawal",No,,,,19594656,a90ac9bf4b84793
"2017-06-21 02:06:30",32684621141,QAAUTTCTUSDSG01,Dafabet,Player,withdraw,FundTransfer,15,USD,15,approved,FT-a5097c2e493fd5b,mannycasino,China,,"dafa888 - Withdrawal through Neteller",-,,0,,19594656,a5097c2e493fd5b
"2017-06-21 02:09:06",32684708199,QAAUTTCTUSDSG01,Dafabet,Player,deposit,FundTransfer,15,USD,15,approved,FT-a5097c2ec253cfa,mannycasino,China,,"dafa888 - Neteller Fund Reversal due to Declined Withdrawal",No,,,,19594656,a5097c2ec253cfa
"2017-06-21 02:57:41",32686305536,QAAUTTCTUSDSG01,Dafabet,Player,withdraw,FundTransfer,15,USD,15,approved,FT-d6f7ff541e72a80,mannycasino,China,,"dafa888 - Withdrawal through Moneybookers",-,,0,,19594656,d6f7ff541e72a80
"2017-06-21 02:59:31",32686360772,QAAUTTCTUSDSG01,Dafabet,Player,deposit,FundTransfer,15,USD,15,approved,FT-d6f7ff541ab76d0,mannycasino,China,,"dafa888 - MoneyBookers Fund Reversal due to Declined Withdrawal",No,,,,19594656,d6f7ff541ab76d0
"2017-06-21 03:39:26",32687539344,QAAUTTCTUSDSG01,Dafabet,Player,withdraw,FundTransfer,15,USD,15,approved,FT-43d3d9296ded587,mannycasino,China,,"dafa888 - Withdrawal through Moneybookers",-,,0,,19594656,43d3d9296ded587
